site_id,sheet,collected,counted,completed,elapsed_s,method,outcome,note
juventudeinfancia-gob-es-es,Spain Ministries,306,124,False,1205.6,count_crawl,site_timeout,external_timeout_kill:lower_bound
kefm-dk-aftaler,덴마크완료,101,102,True,2.7,count_crawl,ok,stealth_ok=1 stealth_fail=0 fallback=0
kcg-go-kr-kcg,한국완료,624,342,False,1205.5,count_crawl,site_timeout,external_timeout_kill:lower_bound
kdca-go-kr-kdca,한국완료,846,479,False,1205.5,count_crawl,site_timeout,external_timeout_kill:lower_bound
keis-or-kr-keis,한국완료,22,21,True,588.4,count_crawl,ok,stealth_ok=283 stealth_fail=0 fallback=0
kedi-re-kr-khome,한국완료,519,357,False,1205.6,count_crawl,site_timeout,external_timeout_kill:lower_bound
keei-re-kr-boardes,한국완료,452,328,False,1205.6,count_crawl,site_timeout,external_timeout_kill:lower_bound
kicce-re-kr-main,한국완료,368,9,True,11.9,count_crawl,ok,stealth_ok=11 stealth_fail=0 fallback=0
kei-re-kr-eliblistes,한국완료,364,453,False,1205.5,count_crawl,site_timeout,external_timeout_kill:lower_bound
kepco-co-kr-home,한국완료,400,490,True,1196.3,count_crawl,ok,stealth_ok=0 stealth_fail=0 fallback=0
kfss-forest-go-kr-stat,한국완료,15,8,False,1205.6,count_crawl,site_timeout,external_timeout_kill:lower_bound
khs-go-kr-cop,한국완료,38,12,False,1205.6,count_crawl,site_timeout,external_timeout_kill:lower_bound
khs-go-kr-newsbbz,한국완료,1249,0,False,1205.7,count_crawl,site_timeout,external_timeout_kill:lower_bound
kice-re-kr-boardcnts,한국완료,500,279,False,1205.7,count_crawl,site_timeout,external_timeout_kill:lower_bound
kicj-re-kr-boardes,한국완료,154,0,False,1205.6,count_crawl,site_timeout,external_timeout_kill:lower_bound
kipa-re-kr-html,한국완료,8,7,True,45.7,count_crawl,ok,stealth_ok=0 stealth_fail=0 fallback=0
kiep-go-kr-galleryes,한국완료,437,377,False,1205.6,count_crawl,site_timeout,external_timeout_kill:lower_bound
kihasa-re-kr-news,한국완료,615,514,False,1205.5,count_crawl,site_timeout,external_timeout_kill:lower_bound
kihasa-re-kr-publish,한국완료,673,0,False,1205.5,count_crawl,fetch_fail,external_timeout_kill:lower_bound
kinfa-or-kr-notificationpromotio,한국완료,732,461,False,1205.4,count_crawl,site_timeout,external_timeout_kill:lower_bound
kinu-or-kr-main,한국완료,432,401,False,1205.4,count_crawl,site_timeout,external_timeout_kill:lower_bound
kipf-re-kr-bbs,한국완료,352,353,True,1035.5,count_crawl,ok,stealth_ok=390 stealth_fail=0 fallback=0
kipf-re-kr-kor,한국완료,601,206,True,922.0,count_crawl,ok,stealth_ok=39 stealth_fail=0 fallback=0
kit-nl-institute,Dutch Research Centers,121,100,True,208.5,count_crawl,ok,stealth_ok=1 stealth_fail=0 fallback=0
kipo-go-kr-ko,한국완료,500,453,False,1205.4,count_crawl,site_timeout,external_timeout_kill:lower_bound
kjonnsforskning-no-nb,Norway Research Centers,100,97,True,569.2,count_crawl,ok,stealth_ok=175 stealth_fail=0 fallback=0
