site_id,site_name,status,category,reason,collected
data-biodiversity-be-dataset,Custom: data-biodiversity-be-dataset,된다,,,524
data-busan-go-kr-bdip,Custom: data-busan-go-kr-bdip,된다,,,2022
data-e-gov-go-jp-data,Custom: data-e-gov-go-jp-data,된다,,,1392
data-gouv-fr-organizations,Custom: data-gouv-fr-organizations,된다,,,200
data-gov-au-data,Custom: data-gov-au-data,된다,,,500
data-gov-be-nl,Custom: data-gov-be-nl,된다,,,132
data-gov-uk-search,Custom: data-gov-uk-search,된다,,,488
data-gv-at-datasets,Custom: data-gv-at-datasets,된다,,,400
data-mfe-govt-nz-documents,Custom: data-mfe-govt-nz-documents,된다,,,21
data-mfe-govt-nz-tables,Custom: data-mfe-govt-nz-tables,된다,,,435
data-nasa-gov-dataset,Custom: data-nasa-gov-dataset,된다,,,4474
data-nist-gov-sdp,Custom: data-nist-gov-sdp,된다,,,50
data-statistik-gv-at-web,Custom: data-statistik-gv-at-web,된다,,,500
data-taltech-ee-search,Custom: data-taltech-ee-search,된다,,,92
datacatalogue-adruk-org-browser,Custom: datacatalogue-adruk-org-browser,된다,,,484
daten-berlin-de-datensaetze,Custom: daten-berlin-de-datensaetze,된다,,,250
datenportal-bmbf-de-portal,Custom: datenportal-bmbf-de-portal,된다,,,75
datos-gob-cl-dataset,Custom: datos-gob-cl-dataset,된다,,,21
datos-gob-mx-agricultura,Custom: datos-gob-mx-agricultura,된다,,,85
datos-gob-mx-cultura,Custom: datos-gob-mx-cultura,된다,,,114
datos-gob-mx-dataset,Custom: datos-gob-mx-dataset,된다,,,97
datos-gob-mx-presupuesto,Custom: datos-gob-mx-presupuesto,된다,,,108
datos-gob-mx-secretaria-salud,Custom: datos-gob-mx-secretaria-salud,된다,,,9
datos-gob-mx-secretaria-trabajo,Custom: datos-gob-mx-secretaria-trabajo,된다,,,16
datos-gob-mx-seguridad,Custom: datos-gob-mx-seguridad,된다,,,27
datos-gob-mx-territorio,Custom: datos-gob-mx-territorio,된다,,,16
datos-gob-mx-turismo,Custom: datos-gob-mx-turismo,된다,,,4
defence-gov-au-publications,Department of Defence (Australia) — Publications,된다,,,80
defence-govt-nz-publications,Custom: defence-govt-nz-publications,된다,,,431
defensa-gob-es-gabinete,Custom: defensa-gob-es-gabinete,된다,,,421
defense-gouv-fr-salle-de-presse,Custom: defense-gouv-fr-salle-de-presse,된다,,,1980
defense-gov-news,Custom: defense-gov-news,된다,,,546
deltares-nl-en,Custom: deltares-nl-en,된다,,,155
dfat-gov-au-publications,Department of Foreign Affairs and Trade — Publications,된다,,,324
dhs-gov-congressional-approp,Custom: dhs-gov-congressional-approp,된다,,,638
dhs-gov-news-releases,Custom: dhs-gov-news-releases,된다,,,79
dhs-gov-publication,Custom: dhs-gov-publication,된다,,,29
dia-govt-nz-diawebsitensf,Custom: dia-govt-nz-diawebsitensf,된다,,,28
didaktorika-gr-eadd,Custom: didaktorika-gr-eadd,된다,,,118
difesa-it-il-ministro,Custom: difesa-it-il-ministro,된다,,,101
differ-nl-publications,Custom: differ-nl-publications,된다,,,198
digital-gob-es-comunicacion,Custom: digital-gob-es-comunicacion,된다,,,416
diplomatie-gouv-fr-en,Custom: diplomatie-gouv-fr-en,된다,,,551
directives-doe-gov-directives-browse,Custom: directives-doe-gov-directives-browse,된다,,,205
directives-doe-gov-guidance,Custom: directives-doe-gov-guidance,된다,,,260
doaj-org-search,Custom: doaj-org-search,된다,,,1417
doc-cerema-fr-default,Custom: doc-cerema-fr-default,안된다,폐쇄/네트워크,사이트 폐쇄/네트워크 불통(DNS·연결 실패),697
doi-gov-bpp,Custom: doi-gov-bpp,된다,,,204
dol-gov-newsroom,Custom: dol-gov-newsroom,된다,,,275
doras-dcu-ie-view,Custom: doras-dcu-ie-view,된다,,,2229
dpmc-govt-nz-publications,Custom: dpmc-govt-nz-publications,된다,,,571
drc-gov-cn-leafaspx,Custom: drc-gov-cn-leafaspx,된다,,,555
drugsandalcohol-ie-cgi,Custom: drugsandalcohol-ie-cgi,된다,,,500
dspace-emu-ee-search,Custom: dspace-emu-ee-search,된다,,,500
dspace-ut-ee-search,Custom: dspace-ut-ee-search,된다,,,125
dst-dk-da,Custom: dst-dk-da,된다,,,408
dtic-dimensions-ai-discover,Custom: dtic-dimensions-ai-discover,된다,,,500
e-stat-go-jp-stat-search,Custom: e-stat-go-jp-stat-search,된다,,,1018
earlham-ac-uk-newsroom,Custom: earlham-ac-uk-newsroom,된다,,,278
earth-prints-org,Custom: earth-prints-org,된다,,,796
ec-lyon-hal-science-search,Custom: ec-lyon-hal-science-search,된다,,,222
ecat-ga-gov-au-geonetwork,Custom: ecat-ga-gov-au-geonetwork,된다,,,796
ecologie-gouv-fr-presse,Custom: ecologie-gouv-fr-presse,된다,,,4049
economie-fgov-be-nl,Custom: economie-fgov-be-nl,된다,,,138
economy-ni-gov-uk-news,Custom: economy-ni-gov-uk-news,된다,,,500
economy-ni-gov-uk-publications,Custom: economy-ni-gov-uk-publications,된다,,,583
