site_id,status,counted,html_list_하한
keei-re-kr-boardes,exact_done,1040,1040
kefm-dk-aftaler,notrust_need2h,,102
kei-re-kr-eliblistes,exact_done,573,573
keis-or-kr-keis,notrust_need2h,,21
kepco-co-kr-home,exact_done,492,491
khs-go-kr-cop,exact_done,13,13
khs-go-kr-newsbbz,exact_done,0,0
kicce-re-kr-main,exact_done,9,9
kice-re-kr-boardcnts,exact_done,939,939
kicj-re-kr-boardes,exact_done,260,260
kiep-go-kr-galleryes,exact_done,2051,2051
kihasa-re-kr-news,exact_done,943,943
kihasa-re-kr-publish,exact_done,0,0
kinfa-or-kr-notificationpromotio,exact_done,766,766
kinu-or-kr-main,exact_done,434,434
kipa-re-kr-html,notrust_need2h,,7
kipf-re-kr-bbs,exact_done,353,353
kipf-re-kr-kor,notrust_need2h,,206
kipo-go-kr-ko,exact_done,602,602
kisdi-re-kr-bbs,exact_done,1178,1178
kisdi-re-kr-report,exact_done,1019,1019
kli-re-kr-kli,exact_done,1628,1628
klimaraadet-dk-da,exact_done,84,84
klri-re-kr-kor,exact_done,384,384
kma-go-kr-kma,notrust_need2h,,58
kmcc-go-kr-userdo,exact_done,1920,1920
kna-forest-go-kr-kfsweb,exact_done,375,375
kommunikasjon-ntb-no-presserom,exact_done,116,116
kostat-go-kr-boardes,notrust_need2h,,0
koti-re-kr-user,exact_done,533,533
krei-re-kr-krei,exact_done,2097,2097
krihs-re-kr-boardes,exact_done,1036,1036
krihs-re-kr-krihslibraryarticle,notrust_need2h,,744
krihs-re-kr-krihslibraryreport,exact_done,150,150
krivet-re-kr,exact_done,1232,1232
krivet-re-kr-kor,exact_done,553,553
kwdi-re-kr-plaza,exact_done,454,454
kwdi-re-kr-publications,exact_done,629,629
lavoro-gov-it-stampa-e-media,exact_done,20,20
lecese-fr-espace-presse,exact_done,676,676
lib-cssn-cn-zy,exact_done,204,204
libreria-educacion-gob-es-p,exact_done,350,350
llnl-gov-news,exact_done,3997,3997
mafra-go-kr-home,lowerbound_need2h,460,238
marine-ie-site-area,notrust_need2h,,14
masaf-gov-it-flex,exact_done,922,922
mbie-govt-nz-building-and-energy,notrust_need2h,,0
mem-gov-cn-fw,notrust_need2h,,63
meri-belspo-be-site,exact_done,21,21
met-no-publikasjoner,exact_done,0,0
meteofrance-fr-actualite,notrust_need2h,,97
mfat-govt-nz-en,notrust_need2h,,11
mfds-go-kr-brd,exact_done,410,410
miit-gov-cn-zwgk,notrust_need2h,,26
mim-gov-it-web,notrust_need2h,,20
mimit-gov-it-it,exact_done,93,93
minagric-gr-the-ministry-2,exact_done,281,281
mindigital-gr-archives,exact_done,1224,1224
minedu-gov-gr-grafeio-typoy-kai-di,notrust_need2h,,0
minfin-gov-gr-grafeio-typou,notrust_need2h,,0
ministryofjustice-gr,exact_done,264,264
minrel-gob-cl-minrel,lowerbound_need2h,1154,490
minscfa-gov-gr-grafeio-typou,exact_done,0,0
mintour-gov-gr-deltia-typoy,exact_done,745,745
miteco-gob-es-es,exact_done,690,690
mivau-gob-es-el-ministerio,exact_done,738,738
mma-go-kr-board,exact_done,683,683
mnd-go-kr-user,exact_done,0,0
mod-mil-gr-category,exact_done,1480,1480
moe-go-kr-boardcnts,exact_done,1047,1047
moe-gov-cn-jyb_xwfb,exact_done,422,422
moe-gov-cn-jyb_xxgk,notrust_need2h,,18
moef-go-kr-nw,exact_done,2000,2000
mof-go-kr-doc,exact_done,823,823
mof-gov-cn-en,exact_done,9,9
mofa-go-kr-www,exact_done,1338,1338
mofe-go-kr-id,notrust_need2h,,133
mogef-go-kr-nw,lowerbound_need2h,355,213
mohrss-gov-cn-xxgk2020,exact_done,19,19
mohw-go-kr-boardes,lowerbound_need2h,628,311
mois-go-kr-frt,notrust_need2h,,119
moj-go-kr-moj,lowerbound_need2h,503,259
moleg-go-kr-boardes,notrust_need2h,,256
molit-go-kr-usr,lowerbound_need2h,430,210
motir-go-kr-kor,lowerbound_need2h,697,340
mpi-govt-nz-about-mpi,exact_done,0,0
mpi-govt-nz-resources-and-forms,exact_done,0,0
mpva-go-kr-mpva,lowerbound_need2h,902,402
msd-govt-nz-about-msd-and-our-wo,notrust_need2h,,16
msit-go-kr-bbs,exact_done,488,488
mss-go-kr-site,lowerbound_need2h,832,391
mva-gov-cn-gongkai,notrust_need2h,,15
mwr-gov-cn-english,notrust_need2h,,37
mwr-gov-cn-zwgk,exact_done,18,18
naacc-go-kr-web,notrust_need2h,,338
nbb-be-en,exact_done,15,15
ncats-nih-gov-news-events,exact_done,6,6
nccih-nih-gov-news,notrust_need2h,,54
ncri-ie-en,exact_done,104,100
neac-gov-cn-seac,notrust_need2h,,57
nec-go-kr-site,lowerbound_need2h,0,0
nei-nih-gov-about,notrust_need2h,,14
nersc-no-en,lowerbound_need2h,165,107
nesc-ie-publications,exact_done,121,19
netl-doe-gov-advsearch,lowerbound_need2h,0,0
netl-doe-gov-energy-analysis,notrust_need2h,,97
netl-doe-gov-fecm-external-r-and-,lowerbound_need2h,312,151
