시트명,일련번호,기관명,URL주소,상태코드,페이지제목,PDF링크수,문서수힌트,크롤판정
뉴질랜드완료,18,뉴질랜드 재무부,https://www.treasury.govt.nz/publications/budgets/budget-2003,200,Budget 2003 | The Treasury New Zealand,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,18,뉴질랜드 재무부,https://www.treasury.govt.nz/publications/budgets/budget-2002,200,Budget 2002 | The Treasury New Zealand,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,18,뉴질랜드 재무부,https://www.treasury.govt.nz/publications/budgets/budget-2001,200,Budget 2001 | The Treasury New Zealand,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,18,뉴질랜드 재무부,https://www.treasury.govt.nz/publications/budgets/budget-2000,200,Budget 2000 | The Treasury New Zealand,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,18,뉴질랜드 재무부,https://www.treasury.govt.nz/publications/budgets/budget-1999,200,Budget 1999 | The Treasury New Zealand,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,18,뉴질랜드 재무부,https://www.treasury.govt.nz/publications/budgets/budget-1998,200,Budget 1998 | The Treasury New Zealand,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,18,뉴질랜드 재무부,https://www.treasury.govt.nz/publications/budgets/budget-1997,200,Budget 1997 | The Treasury New Zealand,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,18,뉴질랜드 재무부,https://www.treasury.govt.nz/publications/search?f%5B0%5D=publication_category%3A2697&issued_from=All&issued_to=All&search=&sort_by=issue_date&sort_order=DESC,200,Publication search | The Treasury New Zealand,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,18,뉴질랜드 재무부,https://www.treasury.govt.nz/publications/search?f%5B0%5D=publication_category%3A2698&issued_from=All&issued_to=All&search=&sort_by=issue_date&sort_order=DESC,200,Publication search | The Treasury New Zealand,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,18,뉴질랜드 재무부,https://www.treasury.govt.nz/publications/search?f%5B0%5D=publication_category%3A2701&issued_from=All&issued_to=All&search=&sort_by=issue_date&sort_order=DESC,200,Publication search | The Treasury New Zealand,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,18,뉴질랜드 재무부,https://www.treasury.govt.nz/publications/search?f%5B0%5D=publication_category%3A2709&issued_from=All&issued_to=All&search=&sort_by=issue_date&sort_order=DESC,200,Publication search | The Treasury New Zealand,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,18,뉴질랜드 재무부,https://www.treasury.govt.nz/publications/search?f%5B0%5D=resource_type%3A4415,200,Publication search | The Treasury New Zealand,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,18,뉴질랜드 재무부,https://www.treasury.govt.nz/publications/research-and-commentary/a-z/jel,200,Research papers by JEL classification | The Treasury New Zealand,0,2,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,18,뉴질랜드 재무부,https://www.treasury.govt.nz/publications/search?f%5B0%5D=resource_type%3A4476,200,Publication search | The Treasury New Zealand,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,18,뉴질랜드 재무부,https://www.treasury.govt.nz/publications/search?f%5B0%5D=resource_type%3A15591,200,Publication search | The Treasury New Zealand,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,18,뉴질랜드 재무부,https://www.treasury.govt.nz/publications/search?f%5B0%5D=resource_type%3A16111,200,Publication search | The Treasury New Zealand,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,18,뉴질랜드 재무부,https://www.treasury.govt.nz/publications/corporate-documents/annual-reports,200,Annual reports | The Treasury New Zealand,0,,"크롤가능(HTML,PDF미검출)"
오스트리아완료,16,오스트리아 여성과학연구부,https://www.bmfwf.gv.at/ministerium/informationspflicht/veroeffentlichungen-gem-art-20-abs-5-b-vg.html,404,"Seite nicht gefunden 404 - Bundesministerium für Frauen, Wissenschaft und Forsch",0,,HTTP404
오스트리아완료,17,"오스트리아 연구, 과학, 혁신 및 기술개발 위원회",https://forwit.at/veroeffentlichungen/?type=av,"ERR:Failed to perform, curl: (28) Connection timed out after 150",,0,,죽음/접속불가
오스트리아완료,17,"오스트리아 연구, 과학, 혁신 및 기술개발 위원회",https://forwit.at/veroeffentlichungen/?type=be,"ERR:Failed to perform, curl: (28) Connection timed out after 150",,0,,죽음/접속불가
오스트리아완료,18,오스트리아 과학 아카데미,https://www.oeaw.ac.at/cmc/publications/books,403,Just a moment...,0,,차단(봇방어)
오스트리아완료,18,오스트리아 과학 아카데미,https://www.oeaw.ac.at/cmc/publications/articles-book-chapters,200,Articles &amp; Book Chapters,8,,크롤가능(PDF링크有)
오스트리아완료,18,오스트리아 과학 아카데미,https://www.oeaw.ac.at/cmc/publications/research-papers,200,Research Papers,27,,크롤가능(PDF링크有)
핀란드완료,4,핀란드 농림부,https://tietokayttoon.fi/julkaisut/raportit,403,Just a moment...,0,,차단(봇방어)
핀란드완료,4,핀란드 농림부,https://tietokayttoon.fi/julkaisut/artikkelit,403,Just a moment...,0,,차단(봇방어)
핀란드완료,5,핀란드 법무부,https://oikeusministerio.fi/vuosiarkisto,403,Just a moment...,0,,차단(봇방어)
핀란드완료,6,국무부,https://um.fi/vientivalvontauutiset,200,Vientivalvontauutiset - Ulkoministeriö,0,,"크롤가능(HTML,PDF미검출)"
핀란드완료,7,내무부,https://intermin.fi/ajankohtaista/uutiset,403,Just a moment...,0,,차단(봇방어)
핀란드완료,7,내무부,https://intermin.fi/kertomukset-ja-selvitykset,403,Just a moment...,0,,차단(봇방어)
핀란드완료,8,국방부,https://defmin.fi/julkaisut/nordefco-vuosiraportit,403,Just a moment...,0,,차단(봇방어)
핀란드완료,9,국고,https://vm.fi/julkaisut,403,Just a moment...,0,,차단(봇방어)
핀란드완료,10,교육문화부,https://okm.fi/vuosiarkisto,403,Just a moment...,0,,차단(봇방어)
핀란드완료,11,고용경제부,https://tem.fi/uutiset,403,Just a moment...,0,,차단(봇방어)
핀란드완료,12,사회보건복지부,https://stm.fi/tiedotteet-ja-uutiset,403,Just a moment...,0,,차단(봇방어)
핀란드완료,13,환경부,https://ym.fi/tiedotteiden-ja-uutisten-vuosiarkisto?p_p_id=fi_yja_web_content_listing_portlet_WebContentListingPortlet_INSTANCE_HrtAwqaNDThV&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_fi_yja_web_content_listing_portlet_WebContentListingPortlet_INSTANCE_HrtAwqaNDThV_mvcRenderCommandName=%2Fwebcontentisting%2Farticles%2Fview&_fi_yja_web_content_listing_portlet_WebContentListingPortlet_INSTANCE_HrtAwqaNDThV_paramYear=2026&_fi_yja_web_content_listing_portlet_WebContentListingPortlet_INSTANCE_HrtAwqaNDThV_paramPage=1,403,Just a moment...,0,,차단(봇방어)
덴마크완료,2,덴마크 기업청,https://erhvervsstyrelsen.dk/publikationer,403,Just a moment...,0,,차단(봇방어)
덴마크완료,7,덴마크 문화부,https://kum.dk/kulturomraader/medier/mediernes-udvikling/publikationer,404,404,0,,HTTP404
벨기에완료,9,벨기에 핵연구센터,https://researchportal.sckcen.be/en/publications/?type=%2Fdk%2Fatira%2Fpure%2Fresearchoutput%2Fresearchoutputtypes%2Fcontributiontobookanthology%2Fconference&type=%2Fdk%2Fatira%2Fpure%2Fresearchoutput%2Fresearchoutputtypes%2Fthesis%2Fmaster&type=%2Fdk%2Fatira%2Fpure%2Fresearchoutput%2Fresearchoutputtypes%2Fthesis%2Fdoc&type=%2Fdk%2Fatira%2Fpure%2Fresearchoutput%2Fresearchoutputtypes%2Fthesis%2Fprofbachelor&nofollow=true,403,Just a moment...,0,,차단(봇방어)
