site_id,site_name,evidence,collected
data-e-gov-go-jp-data,Custom: data-e-gov-go-jp-data,ok(건강검진),1392
data-gouv-fr-organizations,Custom: data-gouv-fr-organizations,ok(건강검진),200
data-gov-au-data,Custom: data-gov-au-data,ok(건강검진),500
data-gov-be-nl,Custom: data-gov-be-nl,정밀검증 확정,132
data-gov-uk-search,Custom: data-gov-uk-search,ok(건강검진),488
data-gv-at-datasets,Custom: data-gv-at-datasets,ok(건강검진),400
data-mfe-govt-nz-documents,Custom: data-mfe-govt-nz-documents,ok(건강검진),21
data-mfe-govt-nz-tables,Custom: data-mfe-govt-nz-tables,ok(건강검진),435
data-nasa-gov-dataset,Custom: data-nasa-gov-dataset,ok(건강검진),4474
data-nist-gov-sdp,Custom: data-nist-gov-sdp,ok(건강검진),50
data-statistik-gv-at-web,Custom: data-statistik-gv-at-web,ok(건강검진),500
data-taltech-ee-search,Custom: data-taltech-ee-search,ok(건강검진),92
datacatalogue-adruk-org-browser,Custom: datacatalogue-adruk-org-browser,ok(건강검진),484
daten-berlin-de-datensaetze,Custom: daten-berlin-de-datensaetze,ok(건강검진),250
datenportal-bmbf-de-portal,Custom: datenportal-bmbf-de-portal,ok(건강검진),75
datos-gob-cl-dataset,Custom: datos-gob-cl-dataset,ok(건강검진),21
datos-gob-mx-agricultura,Custom: datos-gob-mx-agricultura,신규제작(검증됨),85
datos-gob-mx-cultura,Custom: datos-gob-mx-cultura,신규제작(검증됨),114
datos-gob-mx-dataset,Custom: datos-gob-mx-dataset,ok(건강검진),97
datos-gob-mx-presupuesto,Custom: datos-gob-mx-presupuesto,신규제작(검증됨),108
datos-gob-mx-secretaria-salud,Custom: datos-gob-mx-secretaria-salud,신규제작(검증됨),9
datos-gob-mx-secretaria-trabajo,Custom: datos-gob-mx-secretaria-trabajo,신규제작(검증됨),16
datos-gob-mx-seguridad,Custom: datos-gob-mx-seguridad,신규제작(검증됨),27
datos-gob-mx-territorio,Custom: datos-gob-mx-territorio,신규제작(검증됨),16
datos-gob-mx-turismo,Custom: datos-gob-mx-turismo,신규제작(검증됨),4
defence-gov-au-publications,Department of Defence (Australia) — Publications,ok(건강검진),80
defence-govt-nz-publications,Custom: defence-govt-nz-publications,ok(건강검진),431
defensa-gob-es-gabinete,Custom: defensa-gob-es-gabinete,ok(건강검진),421
defense-gouv-fr-salle-de-presse,Custom: defense-gouv-fr-salle-de-presse,ok(건강검진),1980
defense-gov-news,Custom: defense-gov-news,ok(건강검진),546
deltares-nl-en,Custom: deltares-nl-en,ok(건강검진),155
dfat-gov-au-publications,Department of Foreign Affairs and Trade — Publications,ok(건강검진),324
dhs-gov-congressional-approp,Custom: dhs-gov-congressional-approp,ok(건강검진),638
