site_id,health,flag_count,flags
em-lyon-com-en,ok,4,초록<50자 skip; MAX_PAGES=200; 25분벽시계; JS렌더의존(취약)
emep-int-mscw,ok,3,PDF링크 접미사판정(랜딩미추적); 초록<50자 skip; 25분벽시계
emsl-pnnl-gov-science,ok,2,MAX_PAGES=200; 25분벽시계
en-ird-fr-sections,ok,4,PDF링크 접미사판정(랜딩미추적); 초록<50자 skip; 25분벽시계; 뉴스/보도성
en-iwhr-cn-iwhr-english-new,empty_zero_parse,2,초록<50자 skip; 25분벽시계
en-moj-gov-cn-lawsandregulationsht,empty_zero_parse,3,PDF링크 접미사판정(랜딩미추적); MAX_PAGES=200; 25분벽시계
en-ndrc-gov-cn-policies,timeout,2,PDF링크 접미사판정(랜딩미추적); 25분벽시계
en-nhc-gov-cn-publicationshtml,ok,2,초록<50자 skip; 25분벽시계
en-nim-ac-cn-taxonomy,ok,3,MAX_PAGES=200; 25분벽시계; JS렌더의존(취약)
enac-hal-science-search,ok,2,MAX_PAGES=200; 25분벽시계
enc-hal-science-search,ok,2,MAX_PAGES=200; 25분벽시계
energy-gov-management,ok,2,MAX_PAGES=200; 25분벽시계
energy-gov-open-government,ok,2,초록<50자 skip; 25분벽시계
energy-gov-search,ok,3,PDF링크 접미사판정(랜딩미추적); MAX_PAGES=200; 25분벽시계
eng-mod-gov-cn-2025xb,ok,3,PDF링크 접미사판정(랜딩미추적); 초록<50자 skip; 25분벽시계
english-cnipa-gov-cn-col,ok,2,초록<50자 skip; 25분벽시계
english-mee-gov-cn-resources,empty_zero_parse,2,MAX_PAGES=200; 25분벽시계
english-www-gov-cn-archive,ok,3,초록<100자 skip; MAX_PAGES=200; 25분벽시계
enpc-hal-science-search,ok,3,초록<50자 skip; MAX_PAGES=200; 25분벽시계
ens-hal-science-search,ok,3,초록<50자 skip; MAX_PAGES=200; 25분벽시계
ens-lyon-fr-lecole,ok,2,25분벽시계; 뉴스/보도성
ens-lyon-hal-science-search,ok,2,MAX_PAGES=200; 25분벽시계
enscp-hal-science-search,ok,2,MAX_PAGES=200; 25분벽시계
enssib-hal-science-search,ok,2,MAX_PAGES=200; 25분벽시계
environment-govt-nz-acts-and-regulations,ok,2,초록<50자 skip; 25분벽시계
environment-govt-nz-publications,ok,3,초록<50자 skip; 25분벽시계; JS렌더의존(취약)
environment-govt-nz-what-you-can-do,ok,1,25분벽시계
envt-hal-science-search,ok,3,초록<50자 skip; MAX_PAGES=200; 25분벽시계
epa-ie-news-releases,ok,4,PDF링크 접미사판정(랜딩미추적); 초록<50자 skip; 25분벽시계; 뉴스/보도성
eprints-imtlucca-it-cgi,empty_zero_parse,2,초록<50자 skip; 25분벽시계
eprints-soton-ac-uk-view,empty_zero_parse,2,초록<50자 skip; 25분벽시계
eprr-lanl-gov,empty_zero_parse,0,
espci-hal-science-search,ok,2,MAX_PAGES=200; 25분벽시계
esri-ie-publications,ok,3,MAX_PAGES=200; 25분벽시계; JS렌더의존(취약)
esteri-it-it,ok,5,초록<50자 skip; MAX_PAGES=200; 25분벽시계; 뉴스/보도성; JS렌더의존(취약)
etera-ee-browse,ok,0,
ethniccommunities-govt-nz-resources,empty_zero_parse,3,PDF링크 접미사판정(랜딩미추적); MAX_PAGES=200; 25분벽시계
ethz-ch-de,ok,4,초록<100자 skip; MAX_PAGES=200; 25분벽시계; 뉴스/보도성
etis-ee-portal,ok,3,MAX_PAGES=200; 25분벽시계; JS렌더의존(취약)
exteriores-gob-es-en,ok,2,초록<100자 skip; 25분벽시계
fafo-no-en,ok,2,초록<100자 skip; 25분벽시계
fair-healthdata-be-search,ok,4,PDF링크 접미사판정(랜딩미추적); 초록<50자 skip; MAX_PAGES=200; 25분벽시계
federalregister-gov-documents,ok,2,초록<50자 skip; 25분벽시계
fhi-no-en,ok,3,초록<50자 skip; 25분벽시계; JS렌더의존(취약)
fi-se-en,ok,2,초록<50자 skip; 25분벽시계
fibl-org-en,ok,4,PDF링크 접미사판정(랜딩미추적); MAX_PAGES=200; 25분벽시계; JS렌더의존(취약)
finance-ni-gov-uk-publications,ok,3,초록<100자 skip; MAX_PAGES=200; 25분벽시계
flore-unifi-it,empty_zero_parse,2,25분벽시계; JS렌더의존(취약)
fm-dk-udgivelser,ok,3,PDF링크 접미사판정(랜딩미추적); 초록<50자 skip; 25분벽시계
fmi-ch-research,ok,1,25분벽시계
fmn-dk-da,ok,3,PDF링크 접미사판정(랜딩미추적); MAX_PAGES=200; 25분벽시계
forest-go-kr-kfsweb,ok,3,초록<100자 skip; MAX_PAGES=200; 25분벽시계
forskningsradet-no-om-forskningsradet,timeout,2,MAX_PAGES=200; 25분벽시계
frontiersin-org-articles,ok,3,초록<50자 skip; MAX_PAGES=200; 25분벽시계
fsc_better_testcodex,?,1,초록<100자 skip
fss-or-kr-fss,ok,5,PDF링크 접미사판정(랜딩미추적); 초록<50자 skip; MAX_PAGES=200; 25분벽시계; 뉴스/보도성
ftc-go-kr-www,ok,4,초록<50자 skip; MAX_PAGES=200; 25분벽시계; 뉴스/보도성
futureneurocentre-ie-our-research,ok,3,25분벽시계; 뉴스/보도성; JS렌더의존(취약)
ga-gov-au-data-pubs,ok,2,PDF링크 접미사판정(랜딩미추적); 25분벽시계
ga-gov-au-search,?,3,MAX_PAGES=200; 25분벽시계; JS렌더의존(취약)
garda-ie-en,timeout,2,초록<50자 skip; 25분벽시계
gb-go-kr-sub,ok,3,PDF링크 접미사판정(랜딩미추적); 초록<50자 skip; 25분벽시계
gcsp-ch-publications,ok,3,PDF링크 접미사판정(랜딩미추적); 초록<50자 skip; 25분벽시계
genome-gov-about-nhgri,timeout,3,초록<100자 skip; 25분벽시계; JS렌더의존(취약)
genomecanada-ca-about,timeout,2,25분벽시계; 뉴스/보도성
geoportal-statistics-gov-uk-search,ok,3,PDF링크 접미사판정(랜딩미추적); 초록<50자 skip; 25분벽시계
gi-re-kr-home,ok,4,PDF링크 접미사판정(랜딩미추적); MAX_PAGES=200; 25분벽시계; JS렌더의존(취약)
gichd-org-publications-resourc,ok,3,MAX_PAGES=200; 25분벽시계; JS렌더의존(취약)
github-com-orgs,ok,2,초록<100자 skip; 25분벽시계
gnews-gg-go-kr-briefing,ok,4,PDF링크 접미사판정(랜딩미추적); MAX_PAGES=200; 25분벽시계; JS렌더의존(취약)
gnewsonline-it-category,ok,3,MAX_PAGES=200; 25분벽시계; 뉴스/보도성
go-griffith-ie-browse,ok,3,PDF링크 접미사판정(랜딩미추적); MAX_PAGES=200; 25분벽시계
gob-mx-archivo-prensa,?,2,25분벽시계; 뉴스/보도성
gov-gr-search,empty_zero_parse,1,25분벽시계
