site_id,verdict,counted,collected,html_list_하한,note
nioo-knaw-nl-en,notrust_need2h,,,75,이전패스 count만
nisra-gov-uk-publications,lowerbound_need2h,502,522,249,캡걸림 하한
nist-gov-publications,lowerbound_need2h,347,478,207,캡걸림 하한
nivel-nl-en,lowerbound_need2h,370,520,168,캡걸림 하한
nkvts-no-english,notrust_need2h,,,0,이전패스 count만
nnsa-mee-gov-cn-english,SUSPECT_nonew,10,10,10,새문서0-死의심
noc-ac-uk-about-us,lowerbound_need2h,0,7,0,캡걸림 하한
noc-ac-uk-publications,SUSPECT_undercount,25,234,54,측정<수집
nordlandsforskning-no-en,measured_partial,396,304,217,측정OK·부분수집
nps-or-kr-inforls,FAKE_zero,0,115,89,완료인데 0건-차단/고장
nps-or-kr-pnsgdnc,lowerbound_need2h,0,182,138,캡걸림 하한
nrc-re-kr-boardes,SUSPECT_undercount,237,470,116,측정<수집
ntp-niehs-nih-gov-publications,lowerbound_need2h,532,536,261,캡걸림 하한
nts-go-kr-nts,notrust_need2h,,,42,이전패스 count만
nupi-no-en,FAKE_zero,0,28,0,완료인데 0건-차단/고장
nypi-re-kr,lowerbound_need2h,589,3,298,캡걸림 하한
nypi-re-kr-board,notrust_need2h,,,151,이전패스 count만
nzpri-aut-ac-nz-document-library,notrust_need2h,,,0,이전패스 count만
oig-treasury-gov-other-reports-testim,measured_partial,1354,1353,1354,측정OK·부분수집
om-mp-be-nl,notrust_need2h,,,0,이전패스 count만
onera-fr-fr,measured_partial,148,145,148,측정OK·부분수집
ons-gov-uk-search,SUSPECT_undercount,333,516,285,측정<수집
openaire-eu-os-slovenia,notrust_need2h,,,28,이전패스 count만
opendata-centralbank-ie-dataset,measured_partial,39,38,39,측정OK·부분수집
opendatacommunities-org-data,FAKE_zero,0,3,0,완료인데 0건-차단/고장
opengov-seoul-go-kr-research,lowerbound_need2h,357,344,209,캡걸림 하한
openscience-si-naprednoiskanjeaspx,SUSPECT_undercount,19,30,19,측정<수집
opm-go-kr-opm,lowerbound_need2h,489,660,251,캡걸림 하한
ots-at-pressemappe,lowerbound_need2h,303,500,169,캡걸림 하한
par-nsf-gov-search,lowerbound_need2h,2360,2481,1370,캡걸림 하한
pbc-gov-cn-en,notrust_need2h,,,224,이전패스 count만
pbl-nl-en,lowerbound_need2h,231,649,133,캡걸림 하한
pbocri-org-cn-lnzy3html,FAKE_zero,0,8,0,완료인데 0건-차단/고장
pbocri-org-cn-xslwhtml,notrust_need2h,,,2,이전패스 count만
plan-be-nl,lowerbound_need2h,117,152,90,캡걸림 하한
pleanala-ie-en-ie,notrust_need2h,,,50,이전패스 count만
pmc-gov-au-resources,FAKE_zero,0,129,0,완료인데 0건-차단/고장
police-go-kr-user,lowerbound_need2h,768,747,365,캡걸림 하한
policyalternatives-ca-news-research,lowerbound_need2h,1026,1543,593,캡걸림 하한
politie-be-statistieken,notrust_need2h,,,95,이전패스 count만
polytechnique-edu-presse,lowerbound_need2h,232,226,128,캡걸림 하한
portaldiplomatico-mne-gov-pt-en,lowerbound_need2h,241,378,37,캡걸림 하한
pps-go-kr-kor,notrust_need2h,,,291,이전패스 count만
presse-cnam-fr-communiques,measured_partial,38,36,38,측정OK·부분수집
presse-curie-fr-section,lowerbound_need2h,171,300,36,캡걸림 하한
presse-economie-gouv-fr,lowerbound_need2h,1881,1206,578,캡걸림 하한
prism-go-kr-homepage,lowerbound_need2h,20621,2900,9301,캡걸림 하한
provenienzforschung-gv-at-empfehlungen-des-bei,lowerbound_need2h,0,425,0,캡걸림 하한
psi-ch-en,lowerbound_need2h,273,405,152,캡걸림 하한
ptb-de-cms,SUSPECT_nonew,8,8,8,새문서0-死의심
publications-idiap-ch-publications,lowerbound_need2h,120,231,35,캡걸림 하한
publicsafety-gc-ca-cnt,notrust_need2h,,,0,이전패스 count만
publicservice-govt-nz-data,SUSPECT_nonew,61,61,61,새문서0-死의심
publicservice-govt-nz-research-and-data,notrust_need2h,,,110,이전패스 count만
publikationen-bundesregierung-de-pp-de,notrust_need2h,,,64,이전패스 count만
pubs-drdc-rddc-gc-ca-basis,notrust_need2h,,,4966,이전패스 count만
pubs-usgs-gov,lowerbound_need2h,658,10,333,캡걸림 하한
pubshop-bmbwf-gv-at-indexphp,lowerbound_need2h,499,479,144,캡걸림 하한
pure-mpg-de-search,notrust_need2h,,,25,이전패스 count만
rcaanc-cirnac-gc-ca-eng,SUSPECT_nonew,33,33,33,새문서0-死의심
rda-go-kr-board,lowerbound_need2h,792,1020,372,캡걸림 하한
regjeringen-no-en,notrust_need2h,,,0,이전패스 count만
reglementation-controle-asnr-fr-information,notrust_need2h,,,6,이전패스 count만
regulation-govt-nz-about-us,measured_partial,312,247,179,측정OK·부분수집
repository-lboro-ac-uk,notrust_need2h,,,129,이전패스 count만
repository-library-noaa-gov-view,lowerbound_need2h,548,812,290,캡걸림 하한
repository-naturalis-nl,lowerbound_need2h,777,9681,364,캡걸림 하한
repository-tno-nl-doclist,lowerbound_need2h,263,10508,160,캡걸림 하한
reseau-canope-fr-espace-presse,SUSPECT_nonew,19,19,19,새문서0-死의심
rigsrevisionen-dk-revisionssager,lowerbound_need2h,648,590,316,캡걸림 하한
rijksoverheid-nl-documenten,notrust_need2h,,,0,이전패스 count만
ris-bka-gv-at-ergebniswxe,lowerbound_need2h,101,507,82,캡걸림 하한
rki-de-de,notrust_need2h,,,67,이전패스 count만
ruomoplus-lib-uom-gr-simple-search,lowerbound_need2h,514,500,256,캡걸림 하한
saemangeum-go-kr-sda,lowerbound_need2h,321,428,177,캡걸림 하한
safefood-net-news,FAKE_zero,0,31,0,완료인데 0건-차단/고장
sante-gouv-fr-ministere,lowerbound_need2h,60,145,15,캡걸림 하한
santepubliquefrance-fr-presse,lowerbound_need2h,159,624,30,캡걸림 하한
sastind-gov-cn-n10086200,lowerbound_need2h,372,474,255,캡걸림 하한
scaht-org-en,lowerbound_need2h,183,641,28,캡걸림 하한
science-astron-nl-science-astron,lowerbound_need2h,0,117,0,캡걸림 하한
science-libraries-canada-ca-eng,SUSPECT_nonew,31,31,15,새문서0-死의심
scourt-go-kr-portal,lowerbound_need2h,1177,982,526,캡걸림 하한
search-open-canada-ca-opendata,SUSPECT_undercount,80,5287,238,측정<수집
search-worldcat-org-ko,SUSPECT_undercount,13,14,13,측정<수집
seco-admin-ch-seco,notrust_need2h,,,281,이전패스 count만
seer-cancer-gov-report_to_nation,SUSPECT_nonew,24,24,24,새문서0-死의심
sejong-go-kr-bbs,lowerbound_need2h,1241,500,530,캡걸림 하한
sfi-ch-en,lowerbound_need2h,211,288,36,캡걸림 하한
sgu-se-en,notrust_need2h,,,54,이전패스 count만
si-re-kr-bbs,lowerbound_need2h,297,501,160,캡걸림 하한
sib-swiss-community,lowerbound_need2h,359,391,188,캡걸림 하한
sib-swiss-training,SUSPECT_undercount,67,74,67,측정<수집
sintef-no-en,lowerbound_need2h,140,141,99,캡걸림 하한
skillsdevelopmentscotland-co-uk-publications-statist,SUSPECT_undercount,487,488,487,측정<수집
skm-dk-aktuelt,lowerbound_need2h,241,457,142,캡걸림 하한
sm-dk-publikationer,SUSPECT_nonew,354,354,297,새문서0-死의심
sm-ee-otsing,measured_partial,337,158,267,측정OK·부분수집
socialstyrelsen-se-en,lowerbound_need2h,0,127,0,캡걸림 하한
sonar-ch-global,SUSPECT_undercount,5364,5462,4039,측정<수집
sozialministerium-gv-at-services,lowerbound_need2h,60,206,17,캡걸림 하한
spo-go-kr-site,notrust_need2h,,,227,이전패스 count만
stat-inst-se-om-sis,lowerbound_need2h,0,69,0,캡걸림 하한
state-gov-department-reports,notrust_need2h,,,10,이전패스 count만
state-gwd-go-kr-portal,lowerbound_need2h,570,614,326,캡걸림 하한
stats-govt-nz-indicators,notrust_need2h,,,109,이전패스 count만
stepi-re-kr-site,lowerbound_need2h,941,570,486,캡걸림 하한
swisspeace-ch-publications,measured_partial,305,304,49,측정OK·부분수집
swisstph-ch-en,lowerbound_need2h,417,1087,141,캡걸림 하한
telemarksforsking-no-publikasjoner,lowerbound_need2h,161,280,9,캡걸림 하한
tigta-gov-reports,lowerbound_need2h,0,133,0,캡걸림 하한
toi-no-publications,lowerbound_need2h,275,470,114,캡걸림 하한
transparency-gov-au-publications,FAKE_zero,0,2694,0,완료인데 0건-차단/고장
transportation-gov-newsroom,FAKE_zero,0,205,0,완료인데 0건-차단/고장
transportes-gob-es-el-ministerio,lowerbound_need2h,225,288,120,캡걸림 하한
treasury-gov-au-publication,lowerbound_need2h,589,651,259,캡걸림 하한
ufm-dk-publikationer,notrust_need2h,,,38,이전패스 count만
ulsan-go-kr-u,notrust_need2h,,,58,이전패스 count만
um-dk-om-os,SUSPECT_nonew,24,24,24,새문서0-死의심
ungeneva-org-en,SUSPECT_undercount,91,93,68,측정<수집
unidata-gv-at-pages,FAKE_zero,0,404,73,완료인데 0건-차단/고장
unikorea-go-kr-web,notrust_need2h,,,41,이전패스 count만
usgs-gov-news,lowerbound_need2h,243,1549,164,캡걸림 하한
ustat-mur-gov-it,measured_partial,94,92,94,측정OK·부분수집
uvek-admin-ch-en,notrust_need2h,,,50,이전패스 count만
va-gov-vetdata,notrust_need2h,,,114,이전패스 count만
vbs-admin-ch-en,SUSPECT_undercount,50,111,21,측정<수집
vtg-admin-ch-en,SUSPECT_nonew,18,18,18,새문서0-死의심
wbf-admin-ch-en,notrust_need2h,,,0,이전패스 count만
wef-infor-cl-indexphp,notrust_need2h,,,453,이전패스 count만
werk-belgie-be-nl,lowerbound_need2h,203,316,132,캡걸림 하한
who-int-publications,lowerbound_need2h,188,511,139,캡걸림 하한
women-govt-nz-library,SUSPECT_nonew,14,14,14,새문서0-死의심
www2-mrc-lmb-cam-ac-uk-research,SUSPECT_undercount,16,47,16,측정<수집
www6-slac-stanford-edu-news-and-events,lowerbound_need2h,190,267,145,캡걸림 하한
xxgk-mot-gov-cn-2020,measured_partial,460,456,89,측정OK·부분수집
ypen-gov-gr-category,lowerbound_need2h,330,454,184,캡걸림 하한
ypergasias-gov-gr-category,notrust_need2h,,,0,이전패스 count만
ypes-gr-category,lowerbound_need2h,1785,987,634,캡걸림 하한
