mpn	doc_type	url
FF300R12ME7-B11	spice	https://www.infineon.com/assets/row/public/documents/60/50/infineon-ff300r12me7-b11-plecs-simulationmodels-en.zip
IRFP260M	pcb_3d	https://www.infineon.com/assets/row/public/documents/24/60/infineon-pcb-footprints-and-symbols-irfp260m-n-channel-mentor-pcbdesigndata-en.zip
BC856S	datasheet	https://www.infineon.com/assets/row/public/documents/24/49/infineon-bc856s-bc856u-bc857s-ds-en-09018a9080011a6a.pdf
F3L500R12W3H7-H11	pcb_3d	https://www.infineon.com/assets/row/public/documents/60/60/infineon-pcb-footprints-and-symbols-f3l500r12w3h7-h11-igbt-modules-eagle-pcbdesigndata-en.zip
TLS810D1LD-V50	pcb_3d	https://www.infineon.com/assets/row/public/documents/10/60/infineon-pcb-footprints-and-symbols---tls810d1ld-v50---linear-voltage-regulators-for-automotive-applications---altium---v1-pcb-en.zip
IPD60R280CFD7	pqr	https://www.infineon.com/assets/row/public/documents/24/316/infineon-ipd60r280cfd7-pqr-en.pdf
IMLT65R033M2H	pcb_3d	https://www.infineon.com/assets/row/public/documents/24/60/infineon-pcb-footprints-and-symbols-imlt65r033m2h-discretes-cadstar-pcbdesigndata-en.zip
IPL60R125C7	pqr	https://www.infineon.com/assets/row/public/documents/24/316/infineon-ipl60r125c7-pqr-en.pdf
IKW20N60T	pcb_3d	https://www.infineon.com/assets/row/public/documents/60/60/infineon-pcb-footprints-and-symbols-ikw20n60t-igbt-discretes-altium-pcbdesigndata-en.zip
IMW65R007M2H	pcb_3d	https://www.infineon.com/assets/row/public/documents/24/60/infineon-pcb-footprints-and-symbols-imw65r007m2h-discretes-kicad-pcbdesigndata-en.zip
IPQC60R017S7A	datasheet	https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipqc60r017s7a-datasheet-en.pdf
BSL207N	pqr	https://www.infineon.com/assets/row/public/documents/24/316/infineon-bsl207n-productqualificationreport-en.pdf
TLD2131-3EP	datasheet	https://www.infineon.com/assets/row/public/documents/10/49/infineon-tld2131-3ep-datasheet-en.pdf
CYT4DNJBMCQ1BZSGST	pcb_3d	https://www.infineon.com/assets/row/public/documents/10/60/infineon-pcb-footprints-and-symbols-cyt4dnjbmcq1bzsgst-traveo-t2g-cyt4dn-cadence-pcbdesigndata-en.zip
F4-17MR12W1M1H-B76	pcb_3d	https://www.infineon.com/assets/row/public/documents/60/60/infineon-pcb-footprints-and-symbols-f4-17mr12w1m1h-b76-modules-kicad-pcbdesigndata-en.zip
BFP760	pqr	https://www.infineon.com/assets/row/public/documents/24/316/infineon-bfp760-pqr-en.pdf
IQE046N08LM5CG	pcb_3d	https://www.infineon.com/assets/row/public/documents/24/60/infineon-pcb-footprints-and-symbols-iqe046n08lm5cg-n-channel-eagle-pcbdesigndata-en.zip
BC857BW	datasheet	https://www.infineon.com/assets/row/public/documents/24/49/infineon-bc857bw-datasheet-en.pdf
IGW40N120H3	pcb_3d	https://www.infineon.com/assets/row/public/documents/60/60/infineon-pcb-footprints-and-symbols---igw40n120h3---discrete-igbt-without-anti-parallel-diode---cadence---v1.0.zip-pcb-en.zip
IKW75N65EL5	pcb_3d	https://www.infineon.com/assets/row/public/documents/60/60/infineon-pcb-footprints-and-symbols-ikw75n65el5-igbt-discretes-eagle-pcbdesigndata-en.zip
BAT54-03W	pqr	https://www.infineon.com/assets/row/public/documents/24/316/infineon-pqr-bat54-03w-productqualificationreport-en.pdf
BTS441TG	pcb_3d	https://www.infineon.com/assets/row/public/documents/10/60/infineon-pcb-footprints-and-symbols-bts441tg-automotive-smart-high-side-switch--profet--altium-v1zip-pcb-en.zip
S27KL0643GABHI020	pcb_3d	https://www.infineon.com/assets/row/public/documents/10/60/infineon-pcb-footprints-and-symbols-s27kl0643gabhi020-psram-pseudostatic-dram-mentor-pcbdesigndata-en.zip
ICE2HS01G	pqr	https://www.infineon.com/assets/row/public/documents/24/316/infineon-ice2hs01g-productqualificationreport-en.pdf
CYT3DLABSBQ1AESGST	pcb_3d	https://www.infineon.com/assets/row/public/documents/10/60/infineon-pcb-footprints-and-symbols-cyt3dlabsbq1aesgs-traveo2-cadstar-pcbdesigndata-en.zip
IPT60R016CM8	pcb_3d	https://www.infineon.com/assets/row/public/documents/24/60/infineon-pcb-footprints-and-symbols-ipt60r016cm8-500v-950v-designspark-pcbdesigndata-en.zip
CY8C4146AZS-S455	pcb_3d	https://www.infineon.com/assets/row/public/documents/10/60/infineon-pcb-footprints-and-symbols-cy8c4146azs-s455-automotive-psoc-4100s-plus-cadence-pcbdesigndata-en.zip
IKQ100N120CS7	datasheet	https://www.infineon.com/assets/row/public/documents/60/49/infineon-ikq100n120cs7-datasheet-en.pdf
CY8C4146LWE-HVS015X	pcb_3d	https://www.infineon.com/assets/row/public/documents/10/60/infineon-pcb-footprints-and-symbols-cy8c4146lwe-hvs015x-hvms-64-designspark-pcbdesigndata-en.zip
XMC1100-T038F0016-AB	package	https://www.infineon.com/assets/row/public/documents/30/76/infineon-pg-tssop-38-9-xmc1100t038f0016abxuma1-pd-en.pdf
CYUSB4022-FCAXIT	pcb_3d	https://www.infineon.com/assets/row/public/documents/24/60/infineon-pcb-footprints-and-symbols-cyusb4022-fcaxit-fx20-eagle-pcbdesigndata-en.zip
CY7C64315-16LKXIT	fit_report	https://www.infineon.com/assets/row/public/documents/24/376/infineon-cy7c64315-16lkxit-fitreport-en.pdf
AIMZA75R027M1H	pqr	https://www.infineon.com/assets/row/public/documents/24/316/infineon-aimza75r027m1h-productqualificationreport-en.pdf
IPD60R600CM8	pcb_3d	https://www.infineon.com/assets/row/public/documents/24/60/infineon-pcb-footprints-and-symbols-ipd60r600cm8-500v-950v-altium-pcbdesigndata-en.zip
IPP023N03LF2S	pcb_3d	https://www.infineon.com/assets/row/public/documents/24/60/infineon-pcb-footprints-and-symbols-ipp023n03lf2s-n-channel-designspark-pcbdesigndata-en.zip
IMBG120R026M2H	datasheet	https://www.infineon.com/assets/row/public/documents/60/49/infineon-imbg120r026m2h-datasheet-cn.pdf
IGK080B041S	pcb_3d	https://www.infineon.com/assets/row/public/documents/24/60/infineon-pcb-footprints-and-symbols-igk080b041s-power-designspark-pcbdesigndata-en.zip
AIMBG75R027M1H	pcb_3d	https://www.infineon.com/assets/row/public/documents/24/60/infineon-pcb-footprints-and-symbols-aimbg75r027m1h-discretes-altium-pcbdesigndata-en.zip
IQEH54NE2LM7UCG	pcb_3d	https://www.infineon.com/assets/row/public/documents/24/60/infineon-pcb-footprints-and-symbols-iqeh54ne2lm7ucg-n-channel-cadstar-pcbdesigndata-en.zip
TLE9879QXA40	pcb_3d	https://www.infineon.com/assets/row/public/documents/10/60/infineon-pcb-footprints-and-symbols---tle9879qxa40---3-phase-bridge-driver-ic-with-integrated-microcontroller---mentor---v1.0.zip-pcb-en.zip
IRLML2803TRPBF-1	pqr	https://www.infineon.com/assets/row/public/documents/24/316/infineon-irlml2803trpbf-1-productqualificationreport-en.pdf
IRL40B212	pcb_3d	https://www.infineon.com/assets/row/public/documents/24/60/infineon-pcb-footprints-and-symbols---irl40b212---n-channel---eagle-pcbdesigndata-en.zip
BCR48PN	pqr	https://www.infineon.com/assets/row/public/documents/24/316/infineon-bcr48pn-pqr-en.pdf
IPD650P06NM	pcb_3d	https://www.infineon.com/assets/row/public/documents/24/60/infineon-pcb-footprints-and-symbols---ipd650p06nm---20v-250v-p-channel-power-mosfet---mentor-pcbdesigndata-en.zip
IKWH75N75EH7	datasheet	https://www.infineon.com/assets/row/public/documents/60/49/infineon-ikwh75n75eh7-datasheet-en.pdf
ISC046N13NM6	pcb_3d	https://www.infineon.com/assets/row/public/documents/24/60/infineon-pcb-footprints-and-symbols-isc046n13nm6-n-channel-cadstar-pcbdesigndata-en.zip
F4-10MR20W3M1H-B11	datasheet	https://www.infineon.com/assets/row/public/documents/60/49/infineon-f4-10mr20w3m1h-b11-datasheet-ja.pdf
IRFH5301	pcb_3d	https://www.infineon.com/assets/row/public/documents/24/60/infineon-pcb-footprints-and-symbols---irfh5301---n-channel---altium-pcbdesigndata-en.zip
TLE4295G-V30	pcb_3d	https://www.infineon.com/assets/row/public/documents/10/60/infineon-pcb-footprints-and-symbols---tle4295g-v30---linear-voltage-regulators-for-automotive-applications---mentor-pcbdesigndata-en.zip
IRFP22N50A	datasheet	https://www.infineon.com/assets/row/public/documents/24/49/infineon-irfp22n50a-ds-en.pdf
IRF7805ZPBF-1	pqr	https://www.infineon.com/assets/row/public/documents/24/316/infineon-irf7805zpbf-1-pqr-en.pdf
IPG20N04S4L-07A	pcb_3d	https://www.infineon.com/assets/row/public/documents/10/60/infineon-pcb-footprints-and-symbols---ipg20n04s4l-07---automotive-mosfet---eagle-pcbdesigndata-en.zip
IRSM808-105MH	datasheet	https://www.infineon.com/assets/row/public/documents/60/49/infineon-irsm808-105mh-ds-en.pdf
